"","continent","location_count","chapter_count","avg_afinn_score","avg_bing_score","avg_nrc_score","avg_sentiwordnet_score","avg_senticnet_score","composite_sentiment"
"1","Africa",5,16,0.0804821076056786,0.0167157113873109,0.205475486636382,0.0323356245684064,0.0111771789722157,0.0692372218339988
"2","Asia",16,99,-0.0236188849851812,-0.0021232516727433,0.201369238539648,-0.00543880761059627,-0.00255742949495356,0.0335261729552348
"3","Europe",17,75,0.0427143697077591,0.0179643669443508,0.187781382873594,0.0161688098601731,0.00570269173246087,0.0540663242236677
"4","North America",4,41,-0.0769306799635098,-0.0970224434618579,0.180680727920513,-0.0332446861662096,-0.00576005701433761,-0.00645542773708044
